uid,age,sex,active_date,limit
75941,25,01,2016-01-28,5.9746772897
35619,25,01,2015-12-02,5.9746772897
14325,35,01,2016-04-22,5.9746772897
21887,35,01,2016-05-25,6.2920545271
73623,35,01,2016-02-16,5.9746772897
28906,30,02,2016-05-09,5.2921539288
38199,25,02,2016-06-04,5.2921539288
29378,25,02,2016-03-22,5.2921539288
47214,30,01,2016-03-23,6.1534138563
9199,30,02,2016-05-18,5.2921539288
21596,25,01,2016-03-21,5.7227683627
50614,30,01,2015-12-30,6.2920545271
79958,35,02,2016-04-20,5.9746772897
1024,40,01,2016-03-31,5.7227683627
2950,30,01,2016-05-05,5.2921539288
42103,30,01,2016-05-31,5.2921539288
36518,25,01,2016-01-29,5.2921539288
57183,35,01,2016-03-12,6.1534138563
14923,30,01,2016-06-16,6.2920545271
84448,30,01,2016-04-15,6.2920545271
71134,30,01,2016-01-28,5.7227683627
4507,35,01,2016-06-12,6.2920545271
82427,25,01,2016-01-28,5.9746772897
65309,30,01,2016-03-11,6.1534138563
45886,25,01,2016-04-14,6.1534138563
86356,40,01,2016-01-28,5.9746772897
14653,30,01,2016-03-11,6.1534138563
2821,35,01,2016-02-25,5.7227683627
46866,25,01,2016-04-28,5.9746772897
13246,30,01,2016-06-15,5.2921539288
8079,30,01,2015-12-24,6.2920545271
60744,25,01,2016-01-28,6.1534138563
63010,40,01,2016-03-17,6.2920545271
79120,30,01,2015-12-30,5.2921539288
12951,35,02,2016-02-04,5.9746772897
73140,30,01,2016-03-23,5.2921539288
6857,35,01,2015-12-30,5.7227683627
46811,40,01,2016-04-14,6.2920545271
797,25,01,2016-02-16,5.7227683627
61560,35,01,2016-04-13,6.1534138563
27274,35,01,2015-12-19,5.9746772897
9552,30,01,2016-01-07,6.2920545271
63438,35,01,2016-02-16,6.1534138563
30219,35,01,2016-06-06,6.2920545271
19959,35,02,2016-04-28,5.2921539288
77531,30,01,2016-03-30,5.9746772897
80931,35,01,2016-04-21,5.9746772897
1208,30,01,2016-06-28,6.2920545271
45806,40,01,2016-02-25,6.2920545271
19451,35,01,2016-06-30,6.2920545271
72312,30,01,2016-05-05,5.9746772897
55240,40,01,2016-01-28,6.2920545271
59004,35,01,2016-01-03,6.1534138563
67508,35,01,2016-03-30,5.9746772897
6746,35,01,2016-02-09,5.7227683627
66514,30,01,2016-01-09,5.9746772897
82131,50,01,2016-04-20,6.2920545271
21502,35,01,2016-05-09,5.9746772897
26827,35,01,2016-01-29,5.9746772897
15131,35,01,2016-04-15,5.2921539288
78548,30,01,2016-01-28,6.1534138563
82033,35,01,2016-04-20,6.2920545271
44222,30,01,2016-04-05,5.7227683627
90609,50,01,2016-06-14,5.7227683627
62631,30,01,2016-04-20,6.2920545271
63679,35,01,2016-02-04,6.1534138563
47786,25,01,2016-04-19,5.9746772897
55319,30,01,2016-02-16,5.7227683627
3995,30,01,2016-01-28,6.2920545271
27280,45,01,2016-04-26,5.9746772897
15093,35,01,2016-03-15,6.1534138563
24466,25,01,2016-05-17,5.2921539288
40446,35,01,2016-04-21,6.2920545271
7304,35,01,2016-06-27,6.2920545271
66292,30,01,2016-03-17,5.2921539288
6059,25,01,2016-03-15,5.7227683627
15556,30,01,2016-01-28,5.2921539288
25660,25,01,2016-05-18,5.2921539288
55435,30,02,2016-06-21,6.1534138563
45119,30,01,2016-05-13,5.7227683627
8735,25,01,2016-04-15,5.2921539288
9549,30,01,2016-03-15,5.9746772897
77425,30,01,2015-12-27,6.1534138563
90864,30,01,2016-01-28,6.2920545271
34309,30,01,2016-06-18,5.2921539288
29133,30,01,2015-12-30,5.7227683627
49416,30,02,2016-02-02,5.7227683627
229,35,01,2016-04-28,6.2920545271
56006,30,01,2016-04-16,5.9746772897
19246,30,01,2016-04-20,6.2920545271
47781,25,01,2016-04-28,6.2920545271
9711,25,01,2016-05-25,5.2921539288
9692,25,01,2016-04-13,6.1534138563
41022,30,02,2016-03-31,5.2921539288
44133,25,02,2016-04-15,5.7227683627
69143,25,01,2016-06-19,5.2921539288
60431,40,01,2016-01-28,5.9746772897
35329,20,01,2016-05-25,5.2921539288
21254,25,01,2016-03-30,5.2921539288
46781,45,01,2016-05-20,6.2920545271
69435,30,01,2016-01-29,5.9746772897
79111,35,01,2015-12-30,5.7227683627
45796,30,01,2015-12-31,5.9746772897
13441,45,01,2016-01-28,6.1534138563
14080,25,01,2016-01-14,5.9746772897
146,35,01,2016-02-16,6.1534138563
15955,30,02,2016-04-13,5.9746772897
15699,30,02,2016-05-01,6.2920545271
77931,35,02,2016-05-17,6.2920545271
63551,35,01,2015-12-31,5.2921539288
60929,30,01,2016-04-20,5.9746772897
29590,30,01,2016-06-21,5.9746772897
32152,35,01,2015-12-13,5.9746772897
35226,25,01,2016-03-24,5.2921539288
42025,30,01,2016-03-29,5.2921539288
28282,30,01,2016-04-26,5.9746772897
56302,35,01,2016-03-26,6.1534138563
44015,35,01,2016-03-31,5.2921539288
38820,30,01,2016-05-22,6.1534138563
66386,45,01,2016-04-03,5.9746772897
79977,40,01,2016-01-28,6.1534138563
25666,25,01,2016-04-14,6.2920545271
30839,25,02,2016-01-31,5.9746772897
69769,35,01,2016-03-30,5.2921539288
57462,35,01,2016-01-28,5.2921539288
36076,30,01,2016-06-02,6.2920545271
69281,30,01,2016-06-28,6.1534138563
6163,35,01,2016-03-18,6.2920545271
71365,25,02,2016-05-25,6.2920545271
50408,35,01,2016-06-16,6.2920545271
16253,30,01,2016-03-18,6.1534138563
14148,40,01,2016-05-24,6.2920545271
19804,25,01,2016-06-13,5.7227683627
23622,30,01,2016-02-16,6.1534138563
35882,35,02,2016-04-26,5.7227683627
50842,40,01,2016-01-15,5.7227683627
72992,35,01,2016-04-15,6.2920545271
19863,35,01,2016-01-01,6.2920545271
28849,35,02,2016-02-16,5.2921539288
7517,35,01,2016-01-01,6.2920545271
32157,35,01,2016-06-17,6.2920545271
10608,30,01,2016-05-24,6.2920545271
65931,40,01,2016-01-29,5.9746772897
35089,50,02,2016-06-26,5.7227683627
11305,30,01,2016-04-20,6.2920545271
82920,35,01,2016-04-20,6.2920545271
42083,40,01,2016-02-17,5.7227683627
15472,30,01,2016-04-12,5.7227683627
21426,45,02,2016-04-25,6.2920545271
50443,25,01,2016-03-15,5.2921539288
43461,35,02,2016-04-20,5.9746772897
77868,25,01,2016-02-05,6.1534138563
69023,35,01,2016-01-28,6.1534138563
51191,40,01,2016-04-02,6.2920545271
67587,35,01,2015-12-16,5.7227683627
50569,35,01,2016-06-02,6.2920545271
73035,35,01,2015-12-03,6.2920545271
82973,25,01,2016-06-16,5.9746772897
87164,30,01,2016-05-23,5.2921539288
11573,50,01,2016-02-17,5.2921539288
15511,30,01,2016-03-17,5.7227683627
20223,35,01,2016-06-23,6.2920545271
18464,25,01,2015-12-30,5.2921539288
51194,35,01,2015-12-31,6.2920545271
21043,30,01,2015-12-17,5.9746772897
81789,30,01,2016-03-17,6.1534138563
58706,30,01,2015-12-12,6.1534138563
4945,40,01,2016-06-23,5.9746772897
82434,30,01,2016-02-10,6.1534138563
19986,30,01,2016-04-24,5.2921539288
45271,30,01,2016-03-03,5.9746772897
35903,35,01,2015-12-07,6.2920545271
61689,45,01,2016-01-29,5.2921539288
32710,35,02,2016-02-16,5.9746772897
61210,25,01,2016-01-30,5.9746772897
69936,30,02,2016-04-29,6.2920545271
68082,30,01,2015-12-30,6.1534138563
26666,35,01,2016-02-15,5.7227683627
18819,35,01,2016-04-20,5.7227683627
57594,35,02,2016-06-24,6.2920545271
52926,40,01,2016-01-06,5.7227683627
43267,25,01,2016-06-20,6.1534138563
58647,30,01,2016-04-20,6.2920545271
37485,35,01,2016-05-18,5.2921539288
87226,45,01,2016-02-06,6.2920545271
37702,35,01,2016-05-21,5.9746772897
44449,40,02,2016-02-16,5.7227683627
31503,35,02,2016-05-18,6.2920545271
72815,30,01,2016-04-21,6.1534138563
13716,40,01,2015-12-18,6.2920545271
50116,30,01,2016-04-14,6.2920545271
45987,40,01,2015-12-08,6.2920545271
33464,30,02,2016-06-20,6.2920545271
73258,30,02,2016-01-28,6.2920545271
63730,25,01,2016-04-25,5.7227683627
45679,35,01,2015-12-30,6.2920545271
60542,25,01,2016-05-21,5.9746772897
90767,30,01,2016-06-16,5.7227683627
85953,25,01,2016-03-19,5.7227683627
62009,40,02,2016-06-19,6.2920545271
88576,40,02,2016-01-18,5.9746772897
38006,30,01,2016-05-13,5.2921539288
14916,30,01,2016-05-07,5.2921539288
215,40,01,2016-03-10,5.7227683627
16112,40,01,2016-01-27,6.2920545271
70505,25,02,2016-04-20,5.7227683627
46958,35,01,2016-02-06,5.9746772897
9475,30,02,2016-06-16,6.2920545271
50922,35,02,2016-06-17,6.2920545271
52832,25,01,2016-03-12,6.1534138563
70756,25,01,2016-06-26,5.2921539288
86376,35,01,2015-12-31,5.7227683627
48705,50,01,2016-04-20,6.2920545271
40924,30,01,2016-06-03,6.1534138563
14389,30,01,2016-05-18,5.2921539288
57124,35,01,2016-03-14,5.2921539288
75479,40,01,2016-06-21,5.9746772897
16966,45,02,2015-12-31,5.9746772897
54672,30,01,2015-12-17,5.7227683627
15608,25,01,2016-06-20,5.9746772897
66681,30,02,2015-12-30,5.9746772897
37377,25,01,2016-05-11,6.1534138563
17852,35,01,2015-12-31,6.2920545271
63855,30,01,2016-04-26,5.7227683627
12103,30,01,2016-01-02,5.7227683627
88142,35,01,2016-06-29,6.2920545271
75924,35,01,2016-05-06,6.2920545271
39453,30,02,2016-06-17,5.2921539288
46931,30,01,2016-04-14,6.2920545271
7256,35,01,2016-01-29,6.2920545271
73767,35,01,2016-06-16,5.9746772897
19486,35,01,2016-01-28,5.2921539288
38835,25,01,2016-06-21,5.2921539288
67321,35,02,2016-02-16,5.7227683627
90673,35,01,2016-05-03,5.2921539288
42178,30,01,2016-06-29,6.2920545271
84878,25,01,2016-05-20,5.2921539288
13663,30,01,2016-03-12,5.9746772897
21991,40,01,2016-01-06,6.2920545271
61770,25,01,2016-05-20,5.2921539288
22308,30,01,2016-02-24,6.1534138563
45365,25,01,2016-05-21,5.2921539288
58088,25,02,2016-02-04,5.9746772897
8797,25,01,2016-06-12,6.1534138563
28664,35,01,2016-04-26,6.2920545271
18447,40,01,2015-12-17,6.2920545271
13800,25,01,2016-04-26,6.2920545271
83157,25,02,2016-04-14,5.7227683627
37283,30,01,2015-12-17,5.9746772897
66528,30,02,2016-05-10,6.2920545271
71196,25,01,2016-03-18,5.9746772897
29120,25,01,2016-06-06,5.2921539288
53138,35,01,2015-12-06,6.2920545271
73447,30,02,2016-03-21,5.2921539288
85897,30,01,2016-01-27,5.7227683627
76219,35,01,2016-03-29,6.2920545271
77018,25,01,2016-04-14,6.2920545271
27435,35,01,2016-03-12,5.2921539288
10505,35,01,2016-04-30,5.2921539288
37511,30,01,2016-03-18,5.2921539288
29637,30,01,2016-06-16,6.2920545271
87114,30,01,2016-05-03,5.7227683627
16149,35,02,2015-12-30,5.9746772897
21524,35,01,2016-02-16,6.2920545271
53781,50,02,2016-01-03,5.9746772897
7152,40,01,2015-12-28,5.9746772897
15507,30,01,2016-01-06,5.9746772897
45900,45,01,2016-03-17,6.1534138563
52618,35,01,2016-03-15,5.2921539288
17310,30,01,2015-12-31,5.9746772897
54176,35,01,2016-04-18,6.1534138563
24387,30,02,2016-04-21,6.2920545271
32032,25,01,2016-01-27,5.9746772897
35500,40,02,2016-06-16,6.2920545271
12036,35,01,2016-03-16,5.9746772897
75544,25,02,2016-05-03,5.2921539288
80796,35,02,2016-01-13,5.9746772897
65737,25,01,2016-06-15,6.2920545271
34296,25,01,2016-01-27,5.2921539288
33155,35,01,2016-04-11,5.9746772897
69860,25,01,2015-12-16,5.7227683627
67783,40,01,2015-12-03,6.2920545271
43426,35,01,2016-05-23,5.2921539288
36562,35,01,2016-05-02,6.1534138563
23694,25,01,2016-06-03,5.2921539288
76734,35,01,2016-02-02,5.7227683627
70759,35,01,2016-01-01,5.7227683627
68358,35,01,2016-02-11,6.2920545271
69919,50,01,2016-05-24,5.2921539288
25928,35,01,2016-02-06,6.1534138563
54647,40,01,2015-12-17,5.7227683627
42865,25,01,2016-02-11,5.9746772897
50650,25,01,2016-02-07,5.9746772897
47978,45,01,2015-12-02,5.9746772897
85445,25,01,2016-04-27,5.2921539288
69663,40,01,2016-03-29,6.2920545271
44242,25,02,2016-04-27,6.1534138563
73637,30,01,2015-12-23,6.2920545271
52932,40,01,2016-02-09,6.1534138563
53062,30,01,2015-12-17,5.7227683627
47387,35,01,2015-12-17,6.2920545271
18520,35,01,2016-06-30,5.9746772897
80220,35,01,2016-03-01,6.2920545271
86622,30,01,2016-05-21,5.7227683627
37128,35,01,2016-02-13,5.9746772897
68370,50,01,2016-03-28,6.2920545271
21115,35,01,2016-02-24,6.2920545271
66965,30,01,2016-05-02,5.9746772897
24277,30,01,2016-01-28,5.7227683627
77283,50,01,2016-06-15,6.1534138563
57880,40,01,2016-01-05,6.1534138563
40244,30,01,2016-02-16,5.9746772897
46636,50,01,2016-04-15,5.7227683627
66765,35,01,2016-03-22,5.9746772897
3980,40,01,2016-03-15,5.9746772897
89209,40,01,2016-05-07,6.1534138563
49425,35,01,2016-05-19,5.2921539288
26778,40,01,2016-01-28,5.7227683627
33646,40,01,2016-02-13,5.9746772897
82071,50,01,2016-05-29,6.2920545271
651,25,01,2016-04-15,6.2920545271
12674,30,01,2016-03-16,5.2921539288
90722,35,01,2016-01-17,6.2920545271
61186,35,01,2016-05-05,6.2920545271
11295,30,01,2016-06-28,6.2920545271
22511,45,01,2016-02-16,5.9746772897
71307,35,01,2016-05-27,5.2921539288
58287,30,01,2016-04-20,5.2921539288
47427,30,01,2016-03-31,5.9746772897
87186,35,01,2015-12-31,6.2920545271
80014,35,01,2016-06-10,5.9746772897
40164,45,01,2016-06-19,6.2920545271
69244,25,01,2016-05-03,6.1534138563
73980,35,01,2016-05-02,5.2921539288
85844,25,01,2016-05-19,6.1534138563
3405,35,01,2016-02-05,5.2921539288
51602,35,01,2016-05-31,5.2921539288
86240,35,01,2016-05-25,6.1534138563
78923,30,01,2016-06-02,5.7227683627
14632,30,02,2016-05-14,5.2921539288
22949,35,01,2015-12-20,6.1534138563
80532,40,01,2016-01-15,6.2920545271
8738,25,01,2016-05-26,5.2921539288
90652,35,01,2016-06-03,5.2921539288
33100,40,01,2016-03-18,5.2921539288
4563,30,02,2015-12-26,6.1534138563
49254,25,01,2016-05-26,5.2921539288
37689,35,01,2016-04-30,6.2920545271
48942,25,01,2016-04-20,5.7227683627
36177,50,01,2015-12-22,6.2920545271
89525,30,01,2016-06-18,6.2920545271
67277,35,01,2016-05-26,5.7227683627
54330,35,01,2016-05-31,5.2921539288
17134,30,01,2015-12-05,6.2920545271
64879,35,02,2016-03-23,5.7227683627
45292,30,01,2016-01-28,6.1534138563
69456,35,01,2016-04-23,6.1534138563
87594,35,01,2016-05-01,5.9746772897
21125,30,02,2016-05-26,5.9746772897
12953,40,01,2016-04-26,6.1534138563
57550,25,01,2016-02-16,5.7227683627
89165,30,02,2016-06-17,5.2921539288
87107,30,01,2016-06-19,6.1534138563
40291,40,01,2015-12-05,6.2920545271
18196,35,01,2015-12-29,5.9746772897
5474,40,01,2016-02-12,5.9746772897
22015,40,01,2016-06-08,6.2920545271
49850,30,01,2016-02-29,5.9746772897
15564,35,01,2016-02-17,6.1534138563
41162,35,01,2016-03-15,6.2920545271
22338,30,02,2016-06-16,6.1534138563
50298,30,01,2016-02-04,5.2921539288
14979,25,01,2016-06-19,5.2921539288
87488,30,01,2016-04-21,5.7227683627
12972,30,01,2016-02-16,6.2920545271
12110,35,01,2016-04-15,5.7227683627
12419,30,02,2015-12-27,6.1534138563
20281,30,01,2016-03-22,6.2920545271
2838,45,01,2016-04-21,6.2920545271
71711,40,01,2015-12-11,6.2920545271
49292,35,01,2015-12-17,6.2920545271
55141,35,02,2016-02-16,6.1534138563
6904,35,01,2015-12-30,5.7227683627
5685,30,01,2016-05-22,5.9746772897
81079,45,01,2016-04-20,5.9746772897
3665,30,01,2016-02-25,5.9746772897
27553,25,01,2016-01-05,5.7227683627
43800,35,01,2015-12-19,6.2920545271
2202,30,02,2015-12-19,6.2920545271
9379,25,01,2016-02-16,5.2921539288
25079,35,01,2016-06-15,5.2921539288
81713,30,02,2015-12-16,6.2920545271
54936,30,01,2016-03-23,6.1534138563
6027,30,02,2016-03-29,6.1534138563
87477,35,01,2016-06-21,6.2920545271
39590,35,01,2016-02-12,6.2920545271
86037,35,01,2016-02-16,5.9746772897
88939,30,01,2016-01-02,5.7227683627
57408,35,01,2016-05-01,6.2920545271
25698,45,01,2016-02-17,6.1534138563
50065,45,01,2016-04-22,6.2920545271
61960,35,01,2016-02-16,6.2920545271
65985,35,01,2016-04-14,5.9746772897
4827,30,01,2016-06-07,6.2920545271
84146,40,01,2016-03-09,6.1534138563
36555,45,01,2016-03-26,5.2921539288
64042,35,01,2015-12-20,6.1534138563
85301,35,01,2016-05-24,6.2920545271
56161,35,01,2016-03-18,5.2921539288
8061,30,01,2016-03-21,5.2921539288
83657,30,01,2016-05-17,5.2921539288
37617,35,01,2016-02-02,5.9746772897
90275,25,01,2016-05-10,6.2920545271
82275,40,01,2016-02-03,5.9746772897
32220,45,01,2016-04-23,5.9746772897
40569,40,01,2016-06-28,6.2920545271
5992,35,01,2016-04-24,5.9746772897
41668,30,01,2015-12-10,5.9746772897
850,30,01,2016-04-13,6.2920545271
15,30,01,2016-02-08,5.7227683627
69621,35,01,2016-06-07,5.9746772897
90365,30,01,2016-03-24,5.9746772897
85890,45,01,2016-02-04,5.9746772897
75506,35,01,2015-12-10,6.1534138563
597,50,01,2016-02-06,5.9746772897
40037,25,01,2016-02-12,5.2921539288
59236,30,01,2016-05-11,5.2921539288
18387,45,02,2016-06-16,5.2921539288
67455,35,01,2016-02-12,5.9746772897
71692,40,01,2016-02-01,5.9746772897
55596,30,01,2016-05-19,6.2920545271
21473,35,01,2016-02-25,5.2921539288
26017,40,01,2016-04-15,6.2920545271
27087,35,01,2016-02-22,5.9746772897
19179,30,01,2015-12-28,5.2921539288
69516,35,01,2016-01-02,5.9746772897
24348,40,01,2016-03-26,5.7227683627
28467,40,01,2015-12-17,6.2920545271
43748,25,01,2016-06-13,5.2921539288
2428,30,01,2016-03-15,5.2921539288
29593,30,01,2016-06-18,5.9746772897
20098,40,01,2016-01-28,5.9746772897
17933,40,01,2016-02-26,5.7227683627
75959,25,01,2015-12-02,6.1534138563
37049,35,01,2016-01-28,6.2920545271
21771,25,01,2016-04-07,5.2921539288
55255,35,01,2016-06-17,6.2920545271
31628,30,01,2016-03-18,5.7227683627
50325,35,01,2016-04-17,5.7227683627
62298,40,01,2016-05-04,6.2920545271
24003,30,01,2016-01-17,5.9746772897
68658,35,01,2015-12-18,5.2921539288
74929,25,01,2016-04-27,5.7227683627
16602,35,02,2016-06-22,6.2920545271
46832,35,01,2016-05-11,6.2920545271
86073,25,01,2016-01-28,5.7227683627
60419,30,01,2016-03-29,5.2921539288
8379,40,01,2016-03-29,5.2921539288
31392,40,01,2016-04-15,6.2920545271
20113,35,01,2016-03-30,5.9746772897
18770,30,01,2016-03-02,5.7227683627
64279,30,01,2016-04-21,6.2920545271
65345,25,02,2016-05-17,5.2921539288
33028,30,01,2016-06-20,5.9746772897
64322,30,01,2016-02-05,5.7227683627
2682,35,02,2016-03-13,5.7227683627
20585,30,01,2016-03-23,5.2921539288
22568,30,01,2016-04-27,6.1534138563
18960,30,01,2016-03-23,5.9746772897
9529,30,01,2016-05-30,6.1534138563
1082,35,02,2016-06-21,6.1534138563
8375,30,02,2016-01-29,5.2921539288
88778,30,01,2016-05-03,6.2920545271
19211,45,01,2016-03-14,5.2921539288
86345,40,01,2016-05-31,6.1534138563
32532,35,01,2015-12-26,5.2921539288
12295,25,01,2015-12-31,5.9746772897
42224,40,02,2016-06-16,5.2921539288
83532,35,01,2016-05-07,5.2921539288
88448,30,01,2016-02-09,5.9746772897
19032,30,01,2016-01-28,5.2921539288
85971,30,01,2016-04-28,5.7227683627
78352,30,01,2016-03-23,5.2921539288
56391,45,01,2016-06-19,5.9746772897
87491,35,01,2015-12-19,5.9746772897
57311,35,01,2016-05-24,5.2921539288
72650,35,01,2016-01-20,6.2920545271
46104,30,02,2016-01-28,5.2921539288
32425,30,02,2016-05-07,6.2920545271
35972,45,01,2016-03-12,6.2920545271
32261,25,02,2016-01-20,6.1534138563
71118,25,01,2016-03-12,5.7227683627
14893,25,01,2016-03-17,5.2921539288
85177,40,01,2015-12-29,5.7227683627
80392,30,01,2016-06-16,6.1534138563
24864,25,01,2016-06-29,5.9746772897
67967,30,02,2016-06-06,5.2921539288
52004,30,02,2016-05-19,6.2920545271
84277,45,01,2016-02-10,5.2921539288
19289,40,01,2016-03-10,5.7227683627
73995,30,01,2016-03-29,5.7227683627
80873,30,01,2016-03-14,5.2921539288
15014,25,01,2016-04-23,6.1534138563
48421,30,01,2016-04-27,5.9746772897
32,30,01,2016-06-06,5.9746772897
3705,30,01,2016-06-16,5.9746772897
87409,30,01,2016-05-30,5.9746772897
77839,35,01,2016-02-17,5.7227683627
57509,30,01,2015-12-17,5.9746772897
62718,25,01,2016-05-14,5.2921539288
59002,30,01,2016-03-13,5.7227683627
63709,30,01,2016-05-15,6.2920545271
57151,30,01,2016-06-28,6.2920545271
72332,35,01,2015-12-30,5.7227683627
49904,30,02,2016-06-21,6.2920545271
23658,35,01,2016-03-29,5.7227683627
13797,30,01,2015-12-17,6.1534138563
21207,30,01,2016-03-16,6.1534138563
60423,35,01,2015-12-31,6.2920545271
1468,35,01,2015-12-17,6.1534138563
81916,25,02,2015-12-26,6.1534138563
2080,35,01,2015-12-16,6.2920545271
72128,25,02,2016-02-16,6.2920545271
86418,30,01,2016-05-04,5.7227683627
85939,30,01,2016-03-10,5.9746772897
27933,25,01,2016-03-17,5.9746772897
75619,30,01,2016-01-28,5.9746772897
25537,45,02,2016-06-17,5.9746772897
4948,25,01,2016-04-19,5.7227683627
61896,25,01,2016-02-19,6.2920545271
57621,40,01,2016-06-04,6.1534138563
70666,30,01,2016-06-18,5.7227683627
70408,30,01,2016-04-20,5.9746772897
39007,40,01,2016-06-04,6.1534138563
89854,25,01,2016-05-27,5.2921539288
7212,30,01,2016-05-21,5.2921539288
49022,40,01,2016-06-18,6.2920545271
5321,45,01,2016-04-03,5.9746772897
51662,25,01,2016-05-24,5.9746772897
19694,30,01,2016-01-01,5.7227683627
70025,25,01,2016-02-16,5.7227683627
306,45,01,2016-06-09,6.1534138563
55837,30,01,2016-02-03,5.9746772897
13046,30,01,2016-06-02,6.1534138563
83902,25,01,2016-02-06,6.1534138563
11799,35,01,2016-01-28,6.2920545271
68356,30,01,2016-04-22,6.2920545271
89082,35,01,2016-04-22,5.2921539288
65546,35,01,2016-02-18,6.2920545271
68225,30,01,2016-04-19,5.9746772897
15031,45,01,2016-02-17,6.2920545271
61583,25,01,2016-02-10,6.2920545271
27257,35,01,2016-02-08,6.1534138563
42820,40,01,2016-02-12,6.1534138563
56711,30,01,2016-05-24,6.2920545271
40150,35,01,2016-04-21,6.2920545271
6742,25,01,2016-06-14,5.2921539288
42541,40,01,2015-12-18,5.9746772897
79354,30,01,2016-02-09,6.1534138563
61688,35,01,2016-06-11,6.2920545271
70080,40,01,2016-03-19,5.2921539288
15586,40,01,2016-01-18,5.9746772897
21240,35,01,2016-05-13,5.9746772897
9058,30,01,2016-05-12,5.7227683627
7503,35,01,2016-05-24,6.2920545271
70180,30,01,2016-06-27,6.2920545271
88818,30,01,2016-01-28,5.7227683627
75,30,01,2016-06-18,6.1534138563
42302,30,01,2016-02-20,6.2920545271
32233,30,01,2016-05-21,5.7227683627
85252,45,01,2016-03-15,6.1534138563
18401,50,01,2016-05-15,5.2921539288
79505,40,02,2016-03-24,5.2921539288
63322,25,01,2016-06-07,5.2921539288
53441,50,01,2016-01-31,6.2920545271
45137,25,01,2016-04-28,5.2921539288
41432,25,01,2016-04-13,6.2920545271
84529,25,01,2016-05-20,6.1534138563
10518,30,01,2016-05-30,5.9746772897
60977,25,01,2015-12-21,5.7227683627
78201,35,01,2016-04-27,5.2921539288
70222,35,01,2016-03-29,5.7227683627
10728,30,01,2016-01-27,6.1534138563
85280,30,02,2016-05-31,6.1534138563
55280,25,01,2016-06-12,5.2921539288
19576,35,01,2016-01-27,6.1534138563
82205,25,01,2015-12-03,5.7227683627
38677,25,02,2016-03-30,5.2921539288
60121,35,01,2016-04-24,5.7227683627
19159,30,01,2016-04-20,5.2921539288
52649,40,02,2016-06-16,5.2921539288
39096,25,01,2016-04-14,5.9746772897
11189,40,01,2016-01-09,5.9746772897
20689,30,02,2016-04-22,6.2920545271
82348,30,01,2015-12-02,5.2921539288
22668,40,01,2016-02-17,6.2920545271
67700,35,01,2016-05-26,5.9746772897
16843,25,01,2016-05-04,5.7227683627
15833,30,01,2016-04-19,5.7227683627
21216,30,01,2015-12-27,6.2920545271
74934,25,02,2016-02-22,6.2920545271
17283,40,01,2016-01-28,5.9746772897
4221,35,01,2016-01-28,6.2920545271
70970,25,01,2016-06-17,5.9746772897
62653,30,01,2016-04-13,5.7227683627
18891,30,01,2016-02-08,5.9746772897
37724,35,01,2016-06-05,5.7227683627
